OID_,OID1,Grid,ORIG_FID,LAT,LON
26434,,BB100,26434,58.384178360000000,-147.344663330000003
30168,,AJ72,30168,58.385723730000002,-153.166012289999998
28508,,AR84,28508,58.386139329999999,-150.644056229999990
35775,,I36,35775,58.388414300000001,-161.037160650000004
23740,,BO123,23740,58.388535869999998,-142.724405209999986
28923,,AP81,28923,58.389924299999997,-151.274520830000000
34944,,M41,34944,58.391003189999999,-159.917433039999992
36814,,D30,36814,58.391114569999999,-162.402962910000014
33490,,T50,33490,58.392295969999999,-157.923481100000004
21049,,CB149,21049,58.392531640000001,-137.640389900000002
27471,,AW92,27471,58.394033839999999,-148.994332320000012
23533,,BP125,23533,58.394826750000000,-142.333497289999997
24776,,BJ114,24776,58.395188689999998,-144.524886280000004
25605,,BF107,25605,58.396165449999998,-145.934906589999997
21256,,CA147,21256,58.398208359999998,-138.031346789999986
23326,,BQ127,23326,58.400121239999997,-141.942512469999997
26849,,AZ97,26849,58.401526890000000,-147.974587500000013
26227,,BC102,26227,58.402237569999997,-146.954700620000011
21463,,BZ145,21463,58.402888400000002,-138.422372429999996
35983,,H35,35983,58.403678110000001,-161.283264839999987
37022,,C29,37022,58.404184749999999,-162.649402369999990
23119,,BR129,23119,58.404418900000003,-141.551463969999986
27886,,AU89,27886,58.404602769999997,-149.624716690000014
18982,,CL172,18982,58.406016330000000,-133.253567620000013
24569,,BK116,24569,58.406069649999999,-144.134181469999987
21670,,BY143,21670,58.406571370000002,-138.813453600000003
22912,,BS131,22912,58.407719360000002,-141.160365009999992
35152,,L40,35152,58.408063939999998,-160.163244469999995
21877,,BX141,21877,58.409256970000001,-139.204577059999991
22705,,BT133,22705,58.410022349999998,-140.769228849999990
25398,,BG109,25398,58.410638550000002,-145.544486930000005
22084,,BW139,22084,58.410944970000003,-139.595729570000003
22498,,BU135,22498,58.411327679999999,-140.378068710000008
22291,,BV137,22291,58.411635230000002,-139.986897870000007
33698,,S49,33698,58.412550269999997,-158.168672799999996
28301,,AS86,28301,58.412580370000001,-150.255299619999988
30376,,AI71,30376,58.413557249999997,-153.409249460000012
24362,,BL118,24362,58.415956010000002,-143.743338870000002
27264,,AX94,27264,58.416289159999998,-148.604855200000003
37230,,B28,37230,58.416860560000003,-162.895949580000007
28716,,AQ83,28716,58.417964900000001,-150.886025630000006
36191,,G34,36191,58.418549280000001,-161.529494980000010
26020,,BD104,26020,58.419307920000001,-146.564505249999996
29131,,AO80,29131,58.420755190000001,-151.516839199999993
26642,,BA99,26642,58.421191810000003,-147.584706369999992
34529,,O44,34529,58.422733489999999,-159.288818880000008
25191,,BH111,25191,58.424119380000000,-145.153881909999996
35360,,K39,35360,58.424733619999998,-160.409196729999991
24155,,BM120,24155,58.424846930000001,-143.352371640000001
27679,,AV91,27679,58.428461939999998,-149.235411230000011
37438,,A27,37438,58.429141569999999,-163.142601299999995
33906,,R48,33906,58.432416789999998,-158.414031599999987
23948,,BN122,23948,58.432741649999997,-142.961292939999993
36399,,F33,36399,58.433027320000001,-161.775847859999999
25813,,BE106,25813,58.435387990000002,-146.174090159999992
24984,,BI113,24984,58.436606810000001,-144.763104609999999
27057,,AY96,27057,58.437559890000003,-148.215090110000006
28094,,AT88,28094,58.438042560000000,-149.866200240000012
21050,,CB150,21050,58.438448129999998,-137.481906449999997
23741,,BO124,23741,58.439639520000000,-142.570115990000005
26435,,BB101,26435,58.439869020000003,-147.194571309999986
34737,,N43,34737,58.440808130000001,-159.534577329999991
35568,,J38,35568,58.441011690000003,-160.655286640000014
30584,,AH70,30584,58.441013150000003,-153.652715089999987
21257,,CA148,21257,58.444531689999998,-137.873153819999999
28509,,AR85,28509,58.445028919999999,-150.497166749999991
23534,,BP126,23534,58.445539959999998,-142.178854010000009
30169,,AJ73,30169,58.447009680000001,-153.021695529999988
36607,,E32,36607,58.447111739999997,-162.022320259999987
24777,,BJ115,24777,58.448099780000000,-144.372168130000006
28924,,AP82,28924,58.449419499999998,-151.128255179999996
21464,,BZ146,21464,58.449617390000000,-138.264475409999989
23327,,BQ128,23327,58.450442459999998,-141.787520230000013
25606,,BF108,25606,58.450476440000003,-145.783468360000001
29339,,AN79,29339,58.451213320000001,-151.759409900000009
27472,,AW93,27472,58.451338219999997,-148.845796669999999
21671,,BY144,21671,58.453704819999999,-138.655857970000000
23120,,BR130,23120,58.454346610000002,-141.396127919999998
21878,,BX142,21878,58.456793619999999,-139.047288240000000
35776,,I37,35776,58.456897589999997,-160.901510999999999
22913,,BS132,22913,58.457252080000004,-141.004690339999996
26228,,BC103,26228,58.457556949999997,-146.804195240000013
26850,,AZ98,26850,58.457844270000002,-147.825049869999987
33491,,T51,33491,58.457989120000001,-157.784276080000012
34945,,M42,34945,58.458492329999999,-159.780485069999997
24570,,BK117,24570,58.458597339999997,-143.981085619999988
22085,,BW140,22085,58.458883540000002,-139.438752929999993
22706,,BT134,22706,58.459158629999997,-140.613220769999998
22292,,BV138,22292,58.459974389999999,-139.830238780000002
22499,,BU136,22499,58.460066089999998,-140.221732489999994
36815,,D31,36815,58.460802090000001,-162.268908960000005
27887,,AU90,27887,58.462523779999998,-149.476770700000003
25399,,BG110,25399,58.464571999999997,-145.392652910000010
24363,,BL119,24363,58.468098589999997,-143.589870249999990
28302,,AS87,28302,58.471114120000003,-150.107956699999988
35984,,H36,35984,58.472390810000000,-161.147866630000010
27265,,AX95,27265,58.473229730000000,-148.455885760000001
37023,,C30,37023,58.474097890000003,-162.515610710000004
26021,,BD105,26021,58.474254129999998,-146.413591120000007
30377,,AI72,30377,58.475091280000001,-153.265117980000014
35153,,L41,35153,58.475785510000001,-160.026538950000003
24156,,BM121,24156,58.476602739999997,-143.198535209999989
28717,,AQ84,28717,58.477107340000003,-150.739299079999995
26643,,BA100,26643,58.477140589999998,-147.434747329999993
25192,,BH112,25192,58.477673490000001,-145.001656870000005
33699,,S50,33699,58.478480930000003,-158.029693830000014
29132,,AO81,29132,58.480502129999998,-151.370742140000004
29547,,AM78,29547,58.481297730000001,-152.002230150000003
23949,,BN123,23949,58.484109060000002,-142.807093729999991
27680,,AV92,27680,58.486022020000000,-149.087023670000008
37231,,B29,37231,58.486998720000003,-162.762422259999994
36192,,G35,36192,58.487490829999999,-161.394350309999993
24985,,BI114,24985,58.489779810000002,-144.610493380000008
25814,,BE107,25814,58.489959159999998,-146.022771960000000
23742,,BO125,23742,58.490616930000002,-142.415559059999993
21258,,CA149,21258,58.490715620000003,-137.714712130000009
35361,,K40,35361,58.492687109999999,-160.272735780000005
27058,,AY97,27058,58.494134619999997,-148.065691310000005
26436,,BB102,26436,58.495447249999998,-147.044195409999986
23535,,BP127,23535,58.496125780000000,-142.023944449999988
21465,,BZ147,21465,58.496208039999999,-138.106327940000000
28095,,AT89,28095,58.496218329999998,-149.718408089999997
33907,,R49,33907,58.498584510000001,-158.275280860000009
37439,,A28,37439,58.499504129999998,-163.009340350000002
23328,,BQ129,23328,58.500635160000002,-141.632263179999995
21672,,BY145,21672,58.500700979999998,-138.498010190000002
24778,,BJ116,24778,58.500889919999999,-144.219175589999992
30585,,AH71,30585,58.502794999999999,-153.508771200000012
28510,,AR86,28510,58.503816430000001,-150.349983409999993
23121,,BR131,23121,58.504144680000003,-141.240528549999993
21879,,BX143,21879,58.504194050000002,-138.889745589999990
25607,,BF109,25607,58.504670709999999,-145.631750799999992
22914,,BS133,22914,58.506654050000002,-140.848753859999988
22086,,BW141,22086,58.506686960000003,-139.281520830000005
34738,,N44,34738,58.507992059999999,-159.397075489999992
22707,,BT135,22707,58.508163039999999,-140.456952430000001
22293,,BV139,22293,58.508179499999997,-139.673322589999998
30170,,AJ74,30170,58.508201679999999,-152.877078259999990
27473,,AW94,27473,58.508535309999999,-148.696971889999986
22500,,BU137,22500,58.508671540000002,-140.065137560000011
28925,,AP83,28925,58.508814620000003,-150.981693900000010
35569,,J39,35569,58.509196549999999,-160.519072389999991
24571,,BK118,24571,58.511002900000001,-143.827716680000009
29340,,AN80,29340,58.511211820000000,-151.613483760000008
26229,,BC104,26229,58.512762709999997,-146.653407069999986
26851,,AZ99,26851,58.514051160000001,-147.675226170000002
36608,,E33,36608,58.516509270000000,-161.887688950000012
34115,,Q48,34115,58.518299180000000,-158.521034090000001
25400,,BG111,25400,58.518387539999999,-145.240540750000008
24364,,BL120,24364,58.520117880000001,-143.436129859999994
27888,,AU91,27888,58.520339489999998,-149.328533579999998
33492,,T52,33492,58.523604110000001,-157.644760270000006
35777,,I38,35777,58.525313300000001,-160.765545580000008
34946,,M43,34946,58.525910070000002,-159.643222960000003
24157,,BM122,24157,58.528234099999999,-143.044428390000007
26022,,BD106,26022,58.529085520000002,-146.262395330000004
28303,,AS88,28303,58.529544549999997,-149.960320760000002
27266,,AX96,27266,58.530061779999997,-148.306628160000002
30793,,AG70,30793,58.530119980000002,-153.752652320000010
36816,,D32,36816,58.530426730000002,-162.134537429999995
25193,,BH113,25193,58.531108500000002,-144.849154929999997
26644,,BA101,26644,58.532977680000002,-147.284503269999988
23950,,BN124,23950,58.535350870000002,-142.652625519999987
28718,,AQ85,28718,58.536148470000001,-150.592277669999987
30378,,AI73,30378,58.536532170000001,-153.120685110000011
29133,,AO82,29133,58.540149790000001,-151.224348469999995
23743,,BO126,23743,58.541467590000003,-142.260734539999987
29548,,AM79,29548,58.541547620000003,-151.856477269999999
21466,,BZ148,21466,58.542659829999998,-137.947930299999996
24986,,BI115,24986,58.542832519999997,-144.457606510000005
27681,,AV93,27681,58.543475559999997,-148.938345910000010
37024,,C31,37024,58.543949050000002,-162.381501039999989
33700,,S51,33700,58.544334300000003,-157.890403389999989
25815,,BE108,25815,58.544414300000000,-145.871173239999990
23536,,BP128,23536,58.546583720000001,-141.868768749999987
21673,,BY146,21673,58.547559329999999,-138.339910529999997
27059,,AY98,27059,58.550599620000000,-147.916005339999998
23329,,BQ130,23329,58.550698850000003,-141.476741470000007
26437,,BB103,26437,58.550912590000003,-146.893535560000004
21880,,BX144,21880,58.551457739999996,-138.731949369999995
24779,,BJ117,24779,58.553558600000002,-144.065908689999986
23122,,BR132,23122,58.553812610000001,-141.084666019999986
28096,,AT90,28096,58.554289570000002,-149.570323790000003
22087,,BW142,22087,58.554354730000000,-139.124033480000008
22915,,BS134,22915,58.555924750000003,-140.692555760000005
22294,,BV140,22294,58.556250040000002,-139.516149530000007
36193,,G36,36193,58.556366570000002,-161.258888890000009
22708,,BT136,22708,58.557035079999999,-140.300424020000008
37232,,B30,37232,58.557075779999998,-162.628576509999988
22501,,BU138,22501,58.557143519999997,-139.908284159999994
25608,,BF110,25608,58.558747750000002,-145.479753909999999
35362,,K41,35362,58.560570949999999,-160.135959570000011
28511,,AR87,28511,58.562501400000002,-150.202506040000003
24572,,BK119,24572,58.563285829999998,-143.674074700000006
30586,,AH72,30586,58.564484540000002,-153.364525049999997
27474,,AW95,27474,58.565624640000003,-148.547857859999993
26230,,BC105,26230,58.567854369999999,-146.502336060000005
28926,,AP84,28926,58.568109249999999,-150.834836779999989
37440,,A29,37440,58.569806479999997,-162.875760570000011
26852,,AZ100,26852,58.570147110000001,-147.525116340000011
29341,,AN81,29341,58.571111860000002,-151.467260060000001
29756,,AL78,29756,58.571508569999999,-152.099719880000009
24365,,BL121,24365,58.572013380000001,-143.282117800000009
25401,,BG112,25401,58.572084670000002,-145.088150479999996
35570,,J40,35570,58.577312659999997,-160.382542349999994
27889,,AU92,27889,58.578049419999999,-149.180005219999998
24158,,BM123,24158,58.579740520000001,-142.890051269999987
26023,,BD107,26023,58.583801600000001,-146.110917840000013
25194,,BH114,25194,58.584423919999999,-144.696376119999996
34116,,Q49,34116,58.584627959999999,-158.382201030000004
23951,,BN125,23951,58.586466580000000,-142.497888420000010
27267,,AX97,27267,58.586784840000000,-148.157082300000013
28304,,AS89,28304,58.587871219999997,-149.812391639999987
26645,,BA102,26645,58.588702609999999,-147.133974130000013
33493,,T53,33493,58.589140600000000,-157.504933219999998
23744,,BO127,23744,58.592190989999999,-142.105642569999986
34947,,M44,34947,58.593256109999999,-159.505646180000014
35778,,I39,35778,58.593661140000002,-160.629263839999993
21674,,BY147,21674,58.594279370000002,-138.181559260000000
28719,,AQ86,28719,58.595087860000000,-150.444961229999990
24987,,BI116,24987,58.595764459999998,-144.304444050000001
23537,,BP129,23537,58.596913270000002,-141.713327060000012
30379,,AI74,30379,58.597879509999999,-152.975950579999989
21881,,BX145,21881,58.598584189999997,-138.573899839999996
25816,,BE109,25816,58.598752930000003,-145.719294009999999
29134,,AO83,29134,58.599697749999997,-151.077658000000014
23330,,BQ131,23330,58.600633000000002,-141.320955249999997
27682,,AV94,27682,58.600822110000003,-148.789377830000006
29549,,AM80,29549,58.601699850000003,-151.710425880000003
22088,,BW143,22088,58.601886319999998,-138.966291149999989
23123,,BR133,23123,58.603349889999997,-140.928540510000005
22295,,BV141,22295,58.604185489999999,-139.358719830000013
34324,,P48,34324,58.604190119999998,-158.628349310000004
22916,,BS135,22916,58.605063680000001,-140.536096210000011
22502,,BU139,22502,58.605481500000003,-139.751172489999988
22709,,BT137,22709,58.605774240000002,-140.143635740000008
24780,,BJ118,24780,58.606105329999998,-143.912367509999996
26438,,BB104,26438,58.606264549999999,-146.742591720000007
27060,,AY99,27060,58.606954410000000,-147.766032120000006
33701,,S52,33701,58.610110030000001,-157.750801059999986
35155,,L43,35155,58.611016790000001,-159.752183250000002
28097,,AT91,28097,58.612255810000001,-149.421947189999997
25609,,BF111,25609,58.612707090000001,-145.327477700000003
24573,,BK120,24573,58.615445630000004,-143.520159769999992
28512,,AR88,28512,58.621083400000003,-150.054734470000000
27475,,AW96,27475,58.622605739999997,-148.398454479999998
26231,,BC106,26231,58.622831450000000,-146.350982189999996
24366,,BL122,24366,58.623784590000000,-143.127834150000012
25402,,BG113,25402,58.625662900000002,-144.935482119999989
30587,,AH73,30587,58.626081360000001,-153.219976360000004
26853,,AZ101,26853,58.626131630000003,-147.374720300000007
37233,,B31,37233,58.627091479999997,-162.494411719999988
28927,,AP85,28927,58.627302919999998,-150.687683630000009
29342,,AN82,29342,58.630912989999999,-151.320738580000011
24159,,BM124,24159,58.631121479999997,-142.735403950000006
29757,,AL79,29757,58.631912800000002,-151.953843140000004
27890,,AU93,27890,58.635653130000001,-149.031185469999997
23952,,BN126,23952,58.637455670000001,-142.342882540000005
25195,,BH115,25195,58.637619260000001,-144.543320480000006
26024,,BD108,26024,58.638401899999998,-145.959158650000006
37441,,A30,37441,58.640048370000002,-162.741861340000014
21675,,BY148,21675,58.640860570000001,-138.022956670000013
