OID_,LAT,LON
15030,42.433609689999997,-124.659399379999996
15031,42.448354180000003,-124.594494190000006
15032,42.463066540000000,-124.529561470000004
15033,41.751687040000000,-127.700154139999995
15034,41.767929140000000,-127.636551190000006
15035,41.784140120000004,-127.572918790000003
15036,41.800319950000002,-127.509256980000004
15037,41.816468600000000,-127.445565779999995
15038,41.832586059999997,-127.381845249999998
15039,41.848672309999998,-127.318095420000006
15040,41.864727309999999,-127.254316309999993
15041,41.880751060000001,-127.190507980000007
15042,41.896743520000001,-127.126670460000000
15043,41.912704679999997,-127.062803790000004
15044,41.928634520000003,-126.998908000000000
15045,41.944533010000001,-126.934983130000006
15046,41.960400120000003,-126.871029219999997
15047,41.976235850000002,-126.807046310000004
15048,41.992040170000003,-126.743034429999994
15049,42.007813050000003,-126.678993629999994
15050,42.023554470000001,-126.614923950000005
15051,42.039264410000001,-126.550825410000002
15052,42.054942859999997,-126.486698070000003
15053,42.070589779999999,-126.422541960000004
15054,42.086205159999999,-126.358357110000000
15055,42.101788970000001,-126.294143579999997
15056,42.117341189999998,-126.229901389999995
15057,42.132861810000001,-126.165630590000006
15058,42.148350790000002,-126.101331220000006
15059,42.163808130000000,-126.037003319999997
15060,42.179233789999998,-125.972646920000003
15061,42.194627750000002,-125.908262070000006
15062,42.209989989999997,-125.843848800000004
15063,42.225320500000002,-125.779407169999999
15064,42.240619240000001,-125.714937199999994
15065,42.255886210000000,-125.650438949999995
